City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
131,Katsuura,JP,84.52,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
132,Anaco,VE,74.41,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
134,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
135,Xingyi,CN,77.32,clear sky,24.1877,102.817,
136,Virginia Beach,US,84.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
137,Russas,BR,71.44,broken clouds,-4.9403,-37.9758,Veredas do Vale Hotel
139,Jha Jha,IN,89.17,overcast clouds,24.7667,86.3667,"Sahdev Das, krishna Das Building 🏢"
142,Salalah,OM,77.09,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Jadu,LY,70.16,clear sky,31.953,12.0261,امياس للصرافة
144,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
145,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
148,Novikovo,RU,72.16,overcast clouds,51.1537,37.8879,
149,Surgana,IN,75.29,overcast clouds,20.5667,73.6167,Taj Hotel
151,Balkanabat,TM,88.41,scattered clouds,39.5108,54.3671,Nebitchi Hotel
152,Isangel,VU,71.89,overcast clouds,-19.55,169.2667,Tanna Lodge
153,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
154,Vanimo,PG,78.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
155,Bubaque,GW,80.08,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
156,Birjand,IR,82.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
157,Lipovtsy,RU,83.37,clear sky,44.2014,131.7244,"Ooo ""Atkom"""
160,Altay,CN,85.64,scattered clouds,47.8667,88.1167,Jinqiao Hotel
162,Zhenlai,CN,81.88,scattered clouds,45.8495,123.2973,
164,Ocos,GT,75.38,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
166,Guerrero Negro,MX,73.99,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
167,Marshall,US,74.91,clear sky,34.3834,-86.3333,Riverview Campground
169,Muriti,TZ,71.22,overcast clouds,-1.9833,32.9167,
170,Tautira,PF,73.83,light rain,-17.7333,-149.15,Pension Oaoa
171,Alamos,MX,71.51,overcast clouds,27.0167,-108.9333,Luz del Sol
174,Naruto,JP,89.58,broken clouds,34.1833,134.6167,Resort hotel Moana Coast
175,Nikolsk,RU,72.19,broken clouds,53.7189,46.0712,Гостиница Центральная
179,Mitsamiouli,KM,76.26,few clouds,-11.3847,43.2844,Foyer ADM
180,Jinchang,CN,80.89,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
181,Komsomolskiy,UZ,86.72,scattered clouds,40.4272,71.7189,Ikathouse
184,Ulaangom,MN,76.77,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
186,Dutse,NG,73.04,clear sky,11.7594,9.3392,Central Mosque Galamawa
187,Jacareacanga,BR,78.66,broken clouds,-6.2222,-57.7528,Casa do Ian😎
188,Ocala,US,79.05,few clouds,29.1872,-82.1401,Shangri La Motel
192,Nizhniy Bestyakh,RU,78.28,clear sky,61.9594,129.9086,Torgovo Gostinichnyy Kompleks Alaas
195,Nazarovo,RU,74.52,clear sky,56.0064,90.3914,Zarya
196,Ribeira Grande,PT,73.13,few clouds,38.5167,-28.7,Quinta da Meia Eira
198,Sicamous,CA,76.66,overcast clouds,50.8331,-118.9856,Best Western Sicamous Inn
201,Mecca,SA,89.51,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
203,Antalaha,MG,70.84,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
204,Kulhudhuffushi,MV,81.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
210,Sao Paulo De Olivenca,BR,73.47,broken clouds,-3.3783,-68.8725,
213,Sambava,MG,71.13,broken clouds,-14.2667,50.1667,Melrose
215,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
216,Airai,TL,72.88,scattered clouds,-8.9266,125.4092,
217,Jogbani,IN,87.89,overcast clouds,26.4167,87.25,Hotel Eastern Star
218,Kavaratti,IN,80.74,overcast clouds,10.5669,72.642,Green leaf
221,Auki,SB,81.39,light rain,-8.7676,160.7034,Auki Motel
222,Abu Kamal,SY,84.11,clear sky,34.4506,40.9171,البوكمال
224,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
225,Oussouye,SN,78.04,broken clouds,12.485,-16.5469,Auberge du Routard
226,Sao Jose Da Coroa Grande,BR,72.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
228,Sibolga,ID,85.87,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
229,Abnub,EG,85.41,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
231,Davidson,US,75.92,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
232,Bandarbeyla,SO,83.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
233,Avanigadda,IN,87.98,overcast clouds,16.0215,80.9181,AP Camping
