City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Vaini,20,TO,2022-08-08 03:45:55,89,-21.2,-175.2,80.76,10.36
67,Busselton,98,AU,2022-08-08 03:45:55,78,-33.65,115.3333,55.33,20.89
68,Rocky Mountain House,20,CA,2022-08-08 03:45:53,84,52.3668,-114.9188,62.6,5.03
69,Georgetown,20,MY,2022-08-08 03:45:14,66,5.4112,100.3354,89.55,11.5
70,Champerico,85,GT,2022-08-08 03:45:55,80,14.3,-91.9167,80.37,8.05
71,Kalmunai,100,LK,2022-08-08 03:45:56,57,7.4167,81.8167,84.4,7.25
72,Tessalit,1,ML,2022-08-08 03:45:56,35,20.1986,1.0114,88.38,6.98
73,Gamba,80,GA,2022-08-08 03:45:56,81,-2.65,10.0,68.85,3.89
74,Pacific Grove,0,US,2022-08-08 03:43:01,82,36.6177,-121.9166,67.8,9.22
75,New Norfolk,3,AU,2022-08-08 03:45:57,42,-42.7826,147.0587,53.92,2.08
76,Comodoro Rivadavia,40,AR,2022-08-08 03:45:57,93,-45.8667,-67.5,39.06,5.75
77,Lompoc,0,US,2022-08-08 03:45:57,84,34.6391,-120.4579,66.34,12.66
78,Severo-Kurilsk,50,RU,2022-08-08 03:45:58,86,50.6789,156.125,59.52,1.16
79,Saint-Leu,6,RE,2022-08-08 03:45:58,75,-21.15,55.2833,69.31,8.66
80,Muyezerskiy,21,RU,2022-08-08 03:45:58,81,63.9333,31.65,51.53,7.67
81,Baoning,20,CN,2022-08-08 03:45:59,62,25.3378,110.026,91.26,4.47
82,Norman Wells,75,CA,2022-08-08 03:45:59,82,65.282,-126.8329,59.04,16.11
83,Pangnirtung,97,CA,2022-08-08 03:45:59,93,66.1451,-65.7125,42.08,1.21
84,Salym,100,RU,2022-08-08 03:46:00,48,60.0625,71.4789,71.56,4.23
85,Tasiilaq,100,GL,2022-08-08 03:46:00,98,65.6145,-37.6368,41.16,5.37
86,Sobolevo,13,RU,2022-08-08 03:46:00,92,54.4299,31.8996,53.11,6.62
87,Pahrump,13,US,2022-08-08 03:46:01,24,36.2083,-115.9839,95.25,1.99
88,Nuevitas,9,CU,2022-08-08 03:46:01,80,21.5453,-77.2644,80.55,12.26
89,Axim,93,GH,2022-08-08 03:46:01,80,4.8699,-2.2405,75.06,9.91
90,Avarua,75,CK,2022-08-08 03:46:02,68,-21.2078,-159.775,73.45,16.11
91,Alta Floresta,0,BR,2022-08-08 03:46:03,100,-9.8756,-56.0861,73.22,0.0
92,Mao,0,ES,2022-08-08 03:46:03,64,39.8885,4.2658,75.76,3.44
93,Zuwarah,0,LY,2022-08-08 03:46:03,76,32.9312,12.082,77.7,4.09
94,Pandan,99,PH,2022-08-08 03:47:04,70,14.0453,124.1694,83.79,4.72
95,Te Anau,52,NZ,2022-08-08 03:47:04,84,-45.4167,167.7167,38.66,5.75
96,Constitucion,0,CL,2022-08-08 03:45:56,87,-35.3333,-72.4167,46.04,7.74
97,Garowe,27,SO,2022-08-08 03:47:05,57,8.4054,48.4845,73.06,25.64
98,Goderich,86,CA,2022-08-08 03:45:24,88,43.7501,-81.7165,75.9,9.22
99,Kosonsoy,6,UZ,2022-08-08 03:47:06,23,41.2561,71.5508,85.19,7.16
100,Uravakonda,100,IN,2022-08-08 03:47:07,77,14.95,77.2667,76.98,21.7
101,Weligama,94,LK,2022-08-08 03:47:07,77,5.9667,80.4167,80.67,12.19
102,Kodiak,0,US,2022-08-08 03:47:07,52,57.79,-152.4072,65.71,6.91
103,Teahupoo,85,PF,2022-08-08 03:47:08,72,-17.8333,-149.2667,74.53,24.2
104,Padang,20,ID,2022-08-08 03:47:08,66,-0.9492,100.3543,86.05,4.61
105,Saint-Philippe,0,RE,2022-08-08 03:47:08,79,-21.3585,55.7679,67.59,5.53
106,Laguna,0,US,2022-08-08 03:47:09,55,38.421,-121.4238,82.45,14.97
107,Fairview,0,US,2022-08-08 03:42:44,61,40.8126,-73.999,84.87,16.11
108,Solnechnyy,100,RU,2022-08-08 03:47:09,98,50.7214,136.6319,66.07,0.67
109,Karratha,5,AU,2022-08-08 03:47:10,17,-20.7377,116.8463,78.04,6.6
110,Abasolo,98,MX,2022-08-08 03:47:10,73,20.45,-101.5167,62.51,3.51
111,Lerik,0,AZ,2022-08-08 03:47:10,58,38.7726,48.4128,64.04,3.89
112,Westport,0,US,2022-08-08 03:45:30,86,41.1415,-73.3579,82.89,9.22
113,Hasaki,52,JP,2022-08-08 03:47:11,77,35.7333,140.8333,95.29,22.75
114,Tartus,18,SY,2022-08-08 03:47:11,69,34.889,35.8866,79.36,8.88
115,Laem Sing,100,TH,2022-08-08 03:47:12,100,12.4816,102.0738,81.97,12.75
116,Pemba,20,MZ,2022-08-08 03:47:12,100,-12.974,40.5178,66.9,7.0
117,Hervey Bay,0,AU,2022-08-08 03:47:12,44,-25.2986,152.8535,68.02,11.99
118,Henties Bay,61,NA,2022-08-08 03:47:13,90,-22.116,14.2845,53.6,5.1
119,Curaca,0,BR,2022-08-08 03:47:13,77,-8.9903,-39.9094,71.11,16.35
120,Souillac,40,MU,2022-08-08 03:47:13,94,-20.5167,57.5167,62.98,4.61
121,Belyy Yar,0,RU,2022-08-08 03:47:14,54,53.6039,91.3903,69.85,4.47
122,Bath,4,GB,2022-08-08 03:42:26,86,51.3779,-2.3591,60.39,4.99
123,Barranco,100,PA,2022-08-08 03:47:14,92,9.5167,-82.7,77.92,2.73
124,Nanortalik,43,GL,2022-08-08 03:47:14,77,60.1432,-45.2371,44.83,3.0
125,Mairi,8,BR,2022-08-08 03:47:15,94,-11.7114,-40.1489,62.08,4.05
126,Ranong,100,TH,2022-08-08 03:47:15,81,9.9658,98.6348,85.93,11.97
